,user,text,created_at
79,1632351326016356353,"@DKSingh07775320 @BabyDogeCoin $BRAK @itsbrakofficial will be the new Pepe, don't miss it
🚀💎🚀 🌙🚀🔥🌝✅🚀

Telegram Group:  https://t.co/WOYNAHVosY
 
#BRAK #BRAKARMY #BRAKFORALL
#ShibaArmy #ShibaDoge #DOGE #Dogecoin #ShibaWhalesArmy #SHIBARMY #SHIBARMYSTRONG #ElonMusk https://t.co/uA0fS5wQtj",2023-06-01 11:01:54+00:00
80,1641311712337903618,"@KingApePromoter @Foresight_News The project has certain tasks and an excellent team that knows how to maintain and increase the profitability of the platform and investors, a wonderful project!
@Theagriverse
 $AV #Theagriverse #Elonmusk #Bscchain #NFT #Gems #PEPECOIN $PEPE",2023-06-01 11:01:44+00:00
81,1632351326016356353,"@DKSingh07775320 @BabyDogeCoin $BRAK @itsbrakofficial will be the new Pepe, don't miss it
🚀💎🚀 🌙🚀🔥🌝✅🚀

Telegram Group:  https://t.co/WOYNAHUQDq
 
#BRAK #BRAKARMY #BRAKFORALL
#ShibaArmy #ShibaDoge #DOGE #Dogecoin #ShibaWhalesArmy #SHIBARMY #SHIBARMYSTRONG #ElonMusk https://t.co/J4NJndwODu",2023-06-01 11:01:40+00:00
82,1632351326016356353,"@jordanmwinukatz @BabyDogeCoin $BRAK @itsbrakofficial will be the new Pepe, don't miss it
🚀💎🚀 🌙🚀🔥🌝✅🚀

Telegram Group:  https://t.co/WOYNAHUQDq
 
#BRAK #BRAKARMY #BRAKFORALL
#ShibaArmy #ShibaDoge #DOGE #Dogecoin #ShibaWhalesArmy #SHIBARMY #SHIBARMYSTRONG #ElonMusk https://t.co/kCvzSJf5Pc",2023-06-01 11:01:32+00:00
83,1641317353395826690,"@cryptic_kid_sid @MOI_Tech @moibitio @Theagriverse
 $AV #Theagriverse #Elonmusk #PEPECOIN $PEPE #Bscchain #NFT #Gems A good   strong team, a serious project and a large scale. I'm sure this project will   always to be successful soon. And this is good idea to contribute with them",2023-06-01 11:01:30+00:00
84,1652740445657608192,"@ControlzzIq Sorry, I don't trust anyone whose name sounds like it belongs to a cartoon character. #elonmusk #crypto",2023-06-01 11:01:28+00:00
85,1659140467554910211,"@MiloInu Challenges, failures, defeats and ultimately, progress, are what make your life worthwhile

Milo Inu, Stronger , smarter , better
MILO INU BETTER

#Tesla #SpaceX #Twitter #ElonMusk #Milo #Dogecoin

$DOGE $MILO https://t.co/JIaEtYYT2h",2023-06-01 11:01:28+00:00
86,1446352417130352641,"What is the universe trying to say? 🪄🔮

#ElonMusk https://t.co/kN7pWBr1aE https://t.co/Ok8Af0peUC",2023-06-01 11:01:28+00:00
87,1632351326016356353,"@zerocatchup @BabyDogeCoin $BRAK @itsbrakofficial will be the new Pepe, don't miss it
🚀💎🚀 🌙🚀🔥🌝✅🚀

Telegram Group:  https://t.co/WOYNAHUQDq
 
#BRAK #BRAKARMY #BRAKFORALL
#ShibaArmy #ShibaDoge #DOGE #Dogecoin #ShibaWhalesArmy #SHIBARMY #SHIBARMYSTRONG #ElonMusk https://t.co/BGhpyFRsEi",2023-06-01 11:01:23+00:00
88,1255776702325760002,"His wealth increased by $1.98 billion, while Bernard Arnault's wealth decreased by more than $5 billion, causing him to fall behind Musk in the rankings. 

#ElonMusk #BernardArnault #WorldsRichestPerson #BloombergBillionairesIndex #Tesla #LVMH",2023-06-01 11:01:23+00:00
